datazone,males___AGE0,males___AGE1,males___AGE2,males___AGE3,males___AGE4,males___AGE5,males___AGE6,males___AGE7,males___AGE8,males___AGE9,males___AGE10,males___AGE11,males___AGE12,males___AGE13,males___AGE14,males___AGE15,males___AGE16,males___AGE17,males___AGE18,males___AGE19,males___AGE20,males___AGE21,males___AGE22,males___AGE23,males___AGE24,males___AGE25,males___AGE26,males___AGE27,males___AGE28,males___AGE29,males___AGE30,males___AGE31,males___AGE32,males___AGE33,males___AGE34,males___AGE35,males___AGE36,males___AGE37,males___AGE38,males___AGE39,males___AGE40,males___AGE41,males___AGE42,males___AGE43,males___AGE44,males___AGE45,males___AGE46,males___AGE47,males___AGE48,males___AGE49,males___AGE50,males___AGE51,males___AGE52,males___AGE53,males___AGE54,males___AGE55,males___AGE56,males___AGE57,males___AGE58,males___AGE59,males___AGE60,males___AGE61,males___AGE62,males___AGE63,males___AGE64,males___AGE65,males___AGE66,males___AGE67,males___AGE68,males___AGE69,males___AGE70,males___AGE71,males___AGE72,males___AGE73,males___AGE74,males___AGE75,males___AGE76,males___AGE77,males___AGE78,males___AGE79,males___AGE80,males___AGE81,males___AGE82,males___AGE83,males___AGE84,males___AGE85,males___AGE86,males___AGE87,males___AGE88,males___AGE89,males___AGE90+,females___AGE0,females___AGE1,females___AGE2,females___AGE3,females___AGE4,females___AGE5,females___AGE6,females___AGE7,females___AGE8,females___AGE9,females___AGE10,females___AGE11,females___AGE12,females___AGE13,females___AGE14,females___AGE15,females___AGE16,females___AGE17,females___AGE18,females___AGE19,females___AGE20,females___AGE21,females___AGE22,females___AGE23,females___AGE24,females___AGE25,females___AGE26,females___AGE27,females___AGE28,females___AGE29,females___AGE30,females___AGE31,females___AGE32,females___AGE33,females___AGE34,females___AGE35,females___AGE36,females___AGE37,females___AGE38,females___AGE39,females___AGE40,females___AGE41,females___AGE42,females___AGE43,females___AGE44,females___AGE45,females___AGE46,females___AGE47,females___AGE48,females___AGE49,females___AGE50,females___AGE51,females___AGE52,females___AGE53,females___AGE54,females___AGE55,females___AGE56,females___AGE57,females___AGE58,females___AGE59,females___AGE60,females___AGE61,females___AGE62,females___AGE63,females___AGE64,females___AGE65,females___AGE66,females___AGE67,females___AGE68,females___AGE69,females___AGE70,females___AGE71,females___AGE72,females___AGE73,females___AGE74,females___AGE75,females___AGE76,females___AGE77,females___AGE78,females___AGE79,females___AGE80,females___AGE81,females___AGE82,females___AGE83,females___AGE84,females___AGE85,females___AGE86,females___AGE87,females___AGE88,females___AGE89,females___AGE90+
S01012509,2,1,3,1,1,2,1,4,4,0,2,6,3,1,1,0,3,3,3,2,0,1,2,3,2,2,1,6,4,0,2,5,5,5,4,1,5,5,6,2,0,1,3,2,3,2,3,0,6,0,8,6,4,8,6,2,6,4,2,6,5,5,1,6,5,4,3,4,4,2,8,4,3,2,5,3,0,1,2,1,1,4,2,2,2,0,0,1,0,1,0,1,0,0,1,0,1,3,0,3,1,2,7,4,2,2,6,1,1,3,0,5,2,3,0,5,2,4,2,3,2,2,3,0,2,4,4,6,1,0,2,4,2,2,2,3,5,6,1,4,6,7,6,4,6,8,3,2,11,9,3,4,5,5,7,3,4,0,0,2,8,3,7,3,6,0,4,5,4,3,3,5,0,2,3,4,3,2,1,0,0,5
S01012510,4,4,8,4,6,6,6,3,6,10,4,5,3,8,3,9,2,6,7,5,8,4,4,3,3,0,5,10,10,4,8,6,1,4,6,1,14,2,10,4,3,8,9,6,10,11,3,13,4,12,12,9,5,1,10,3,2,6,6,6,5,5,3,2,7,10,1,6,3,7,5,6,4,1,6,2,7,2,2,1,2,4,1,5,0,2,1,2,1,0,1,5,4,5,5,1,9,7,6,8,9,5,4,6,4,2,4,9,0,2,4,3,6,6,10,5,3,5,4,3,6,9,9,8,10,4,5,9,1,11,8,9,4,9,8,4,12,11,5,8,6,8,9,4,7,10,11,5,6,9,3,6,4,6,10,8,6,5,6,4,3,7,1,4,0,9,7,5,4,2,4,5,3,5,4,1,3,3,2,2,0,1
S01012511,1,2,1,0,4,1,0,0,1,4,4,3,0,3,0,1,0,4,2,3,1,2,1,4,5,2,4,2,5,7,3,6,4,1,3,4,2,3,4,1,4,3,3,6,6,3,5,2,4,2,2,2,5,3,7,4,3,3,1,4,3,10,0,1,7,1,6,3,6,7,4,3,8,4,2,8,2,2,2,2,5,0,1,2,1,2,1,2,0,0,0,2,3,4,2,4,2,0,3,3,3,4,2,3,1,2,1,1,0,3,5,2,4,1,1,10,3,4,3,1,4,9,0,4,1,1,3,5,1,6,0,4,4,4,0,0,4,4,6,2,8,4,5,6,9,5,7,1,6,4,3,9,6,5,7,3,6,2,11,4,6,11,6,8,5,2,3,4,1,3,1,4,4,1,0,2,0,3,0,0,0,1
S01012512,1,1,3,1,1,8,3,4,0,8,2,6,4,3,5,6,5,6,7,5,0,2,3,5,0,1,4,4,3,2,6,3,5,1,1,2,1,2,0,9,0,6,4,6,3,4,3,4,3,9,9,7,4,6,7,3,6,3,3,1,3,9,8,5,2,6,1,1,4,2,3,4,9,1,5,2,1,1,4,0,3,3,1,1,3,0,1,1,1,0,1,7,3,5,5,2,5,5,4,8,9,8,3,5,3,6,1,8,2,1,4,6,4,3,4,6,1,8,3,1,0,7,5,3,0,0,2,9,6,5,0,5,3,1,6,2,1,6,5,9,10,8,4,7,5,5,8,4,4,8,4,5,4,5,3,4,2,0,2,2,0,6,10,1,6,5,3,2,1,0,3,3,3,1,0,0,2,1,1,1,1,5
S01012513,1,3,4,3,2,3,1,4,1,3,3,5,3,5,1,2,10,2,5,1,3,1,7,1,3,2,3,5,0,8,3,2,1,1,5,0,6,1,0,4,2,2,2,3,4,2,2,3,6,2,4,6,10,4,4,3,6,6,4,6,3,3,3,2,6,4,3,4,6,5,4,1,3,1,5,2,2,0,4,1,3,3,1,2,0,1,0,0,0,0,1,2,2,1,4,4,3,4,1,6,2,1,1,6,1,3,2,5,5,4,2,3,9,4,2,6,2,3,2,2,4,0,1,3,5,9,6,1,2,4,4,5,0,5,7,1,2,5,2,4,6,9,5,2,2,2,8,2,5,5,7,8,2,7,4,2,8,6,1,2,5,4,6,2,2,4,5,1,0,1,3,1,3,2,0,0,1,0,2,1,1,1
S01012514,15,7,4,4,8,6,1,11,7,8,12,5,9,17,7,5,10,4,5,6,2,3,8,9,4,4,0,2,6,4,4,5,3,5,9,1,13,6,2,3,5,8,4,11,13,11,12,8,10,3,8,12,5,9,13,8,5,13,6,11,10,8,3,3,2,3,4,0,4,0,1,4,4,1,3,4,2,0,1,0,0,0,1,1,0,0,1,1,0,0,1,3,4,7,4,8,3,7,11,6,7,4,10,7,7,7,7,8,4,2,7,7,5,4,5,7,8,6,3,5,3,2,6,10,2,5,8,8,11,7,5,8,4,9,10,17,14,15,13,4,8,10,12,8,12,12,9,8,7,9,8,6,9,3,0,4,4,4,0,2,1,1,5,1,2,1,0,2,2,1,1,1,1,0,1,0,2,1,0,1,0,3
S01012515,2,0,1,3,3,2,2,6,1,3,1,2,2,3,2,3,1,2,4,6,5,0,4,8,2,6,2,1,4,2,6,5,3,6,5,0,2,8,9,0,1,0,3,3,2,6,5,3,3,3,3,0,3,10,2,6,5,6,5,7,3,5,7,4,2,2,0,7,2,6,5,5,5,6,3,3,5,3,0,1,1,1,2,2,2,1,0,2,1,0,3,2,4,2,2,4,2,1,2,1,4,2,2,4,4,2,4,3,2,3,2,5,2,0,6,5,3,7,3,4,3,5,2,5,0,3,3,4,6,3,3,7,2,1,2,5,4,2,6,5,4,4,5,7,7,4,5,4,7,10,9,6,5,5,3,4,8,6,7,3,6,4,5,4,2,2,3,4,4,5,4,2,2,5,3,3,0,0,1,0,1,0
S01012516,4,2,3,2,4,0,5,6,2,4,3,4,0,5,2,5,5,1,6,6,2,1,2,4,3,2,4,1,6,2,2,0,4,0,2,2,0,4,0,7,5,5,2,1,1,0,5,3,4,7,3,5,5,4,4,8,5,2,4,2,2,7,4,6,2,4,5,2,3,1,7,6,7,3,1,1,4,3,5,2,1,1,1,4,2,1,0,3,1,0,1,0,1,3,2,5,2,2,1,1,2,0,2,3,2,2,2,3,4,8,5,6,3,3,7,3,5,2,2,3,0,1,3,4,4,2,2,0,6,5,3,5,6,1,4,2,6,5,6,9,3,6,4,5,4,8,6,4,5,2,3,8,3,5,1,6,3,8,3,4,2,4,8,5,2,8,3,6,5,7,4,1,4,6,2,1,1,0,3,2,1,3
S01012517,4,8,4,5,3,7,3,9,2,14,1,13,3,4,8,6,2,2,5,3,4,5,6,4,9,4,2,4,9,6,0,6,7,3,10,8,7,8,6,3,4,2,5,10,2,4,12,8,11,7,7,8,7,6,5,5,7,8,7,10,9,6,5,7,4,5,4,4,3,6,5,7,4,6,9,3,4,2,4,4,12,4,3,2,2,2,3,3,2,3,9,6,4,6,4,4,7,2,6,6,6,3,4,3,6,5,3,2,5,8,5,1,3,9,4,5,3,4,8,10,3,5,10,10,11,1,10,9,10,7,5,4,7,6,6,6,7,6,10,12,3,4,3,4,11,4,8,13,10,5,7,7,10,4,4,2,8,5,7,5,3,7,8,7,8,3,7,7,8,0,3,10,5,4,1,9,6,3,3,3,2,32
S01012518,1,2,3,2,1,4,1,1,1,0,5,0,1,3,5,3,1,2,2,3,2,3,0,7,1,2,3,2,1,2,0,0,2,0,2,3,2,7,0,0,3,3,3,4,6,1,3,3,4,4,5,7,3,0,5,5,7,2,3,6,11,4,5,5,5,7,4,1,2,1,7,6,2,3,3,7,3,7,3,1,4,3,1,3,0,2,1,2,0,1,3,1,1,4,2,1,0,0,9,2,8,1,1,5,1,2,2,1,0,3,1,3,1,3,5,0,0,1,0,2,2,2,1,2,3,2,4,3,2,0,6,5,4,1,1,4,4,4,4,2,0,3,3,2,4,8,3,0,6,5,6,2,6,8,3,4,3,4,3,2,4,4,5,7,7,3,2,5,4,3,1,4,2,1,3,1,1,0,2,0,3,2
S01012519,1,3,0,1,3,4,5,4,4,1,1,0,0,3,2,1,0,2,0,0,0,1,2,4,3,5,3,6,0,0,0,3,1,3,2,1,0,1,4,6,2,3,1,1,4,5,1,3,2,4,7,5,1,5,4,5,1,6,4,7,1,1,3,7,5,4,8,4,7,2,2,5,1,1,4,0,1,3,5,3,3,4,5,2,2,1,2,4,2,1,0,2,0,1,6,6,2,3,1,4,5,1,5,1,4,1,2,0,0,0,0,0,4,4,2,2,1,0,4,8,0,2,1,1,1,3,4,2,3,4,6,6,7,3,5,3,4,1,7,4,1,8,4,0,6,8,3,3,4,3,0,5,8,3,5,4,1,6,4,4,4,6,2,7,4,5,2,3,4,4,4,3,2,0,3,5,2,4,2,2,0,3
S01012520,3,4,0,4,1,4,2,3,1,1,5,4,2,2,3,0,6,4,1,3,5,6,1,2,1,0,3,1,3,2,0,0,4,1,0,4,4,5,2,5,3,1,5,8,0,5,6,6,7,3,2,4,8,9,7,4,4,4,7,7,11,4,8,5,1,3,4,13,5,3,6,11,3,1,6,4,5,1,3,5,4,2,6,3,0,3,6,2,0,0,8,1,1,4,1,2,0,2,3,0,4,5,1,4,4,5,3,4,4,6,3,5,2,1,3,2,1,0,4,3,4,4,1,0,4,2,3,1,0,1,4,3,3,3,5,1,1,4,6,7,9,6,2,12,4,7,12,6,6,11,8,6,8,11,5,4,4,6,8,7,3,5,12,6,5,5,1,3,3,10,4,9,4,9,7,6,10,3,3,7,0,25
S01012521,0,5,5,3,2,3,3,0,1,6,2,1,2,3,2,0,1,4,5,6,2,4,4,1,3,2,2,6,1,3,0,1,5,4,6,8,4,5,3,5,2,8,4,6,4,1,1,1,3,4,6,7,4,8,6,1,6,14,2,2,1,3,7,1,3,5,4,4,3,4,5,7,0,1,2,0,1,3,1,4,0,0,0,2,2,3,0,0,0,0,0,1,1,1,2,0,0,0,0,2,0,1,2,0,4,1,2,4,5,1,0,2,3,2,5,2,1,1,2,5,2,4,5,0,2,5,0,2,4,5,8,2,6,5,3,4,5,5,6,2,6,3,9,7,2,4,2,4,1,2,3,5,3,2,6,1,9,3,5,5,3,6,5,1,0,8,3,5,6,1,0,2,0,1,5,2,1,2,1,0,1,1
S01012522,3,4,5,3,6,5,2,3,5,4,3,4,3,3,7,1,3,3,4,7,3,3,3,3,11,1,3,3,3,8,4,3,0,0,2,0,2,7,2,4,3,2,2,4,5,11,5,6,8,9,4,2,6,4,4,8,5,12,8,8,7,12,6,3,7,7,9,8,7,8,4,5,10,6,10,6,5,2,6,2,2,2,3,9,3,2,2,0,2,0,1,3,2,1,1,3,7,4,0,8,1,1,5,6,3,0,5,7,0,3,5,3,2,0,0,9,3,2,0,3,1,0,4,3,0,2,0,3,4,6,3,5,6,6,4,5,6,6,6,4,5,10,3,5,13,6,6,9,11,6,12,5,9,4,13,14,3,7,7,11,8,8,7,3,11,4,3,6,3,8,2,6,4,2,5,0,6,3,1,0,0,3
S01012523,2,6,1,3,6,2,3,5,8,5,3,2,8,6,1,2,9,5,4,1,1,6,3,1,9,5,2,5,1,6,4,3,3,4,5,4,1,7,4,17,5,1,2,6,8,6,7,6,8,8,5,6,3,7,6,7,8,11,2,5,11,10,0,5,7,12,9,5,7,4,5,1,5,6,4,1,1,1,5,8,2,3,0,2,1,3,1,1,0,2,1,3,6,5,3,4,4,1,4,7,5,5,5,4,7,7,1,3,2,3,3,0,2,1,4,5,0,4,2,3,1,5,3,3,5,5,5,8,6,5,1,8,4,5,9,2,6,4,4,8,1,13,10,10,9,6,7,11,9,9,9,10,8,6,7,9,8,4,5,5,10,4,10,6,5,7,3,6,5,5,2,4,3,3,1,5,4,3,1,2,2,6
S01012524,2,5,2,2,0,3,2,4,3,0,6,3,4,3,2,0,7,5,4,5,5,3,1,3,4,4,4,0,1,4,7,1,7,8,4,2,7,4,3,3,0,5,5,1,7,4,7,3,1,2,5,11,6,7,4,4,10,11,12,11,4,8,7,11,6,3,12,13,4,7,4,6,6,7,3,8,2,2,2,7,6,3,4,2,1,3,2,2,1,0,3,2,1,1,0,3,3,3,3,4,2,3,3,1,1,2,3,2,3,3,3,4,8,2,7,4,2,1,5,1,5,3,6,4,2,1,2,3,5,3,1,3,4,3,5,8,6,5,5,6,8,10,8,14,8,12,8,9,8,8,7,9,9,9,12,7,9,9,11,7,11,5,8,8,7,13,8,12,11,9,11,8,7,9,9,8,1,2,4,3,2,0
S01012525,0,4,3,3,5,3,6,6,3,3,4,2,2,3,0,4,5,2,3,5,4,4,3,1,1,0,1,3,3,0,0,1,0,3,1,0,7,3,10,6,1,3,3,4,7,7,4,2,4,4,2,7,6,4,7,8,7,8,8,9,10,10,7,6,6,8,4,5,5,6,5,8,5,5,1,6,2,3,2,2,1,4,0,1,0,2,1,3,1,2,3,0,3,3,2,0,1,8,4,0,6,1,4,3,8,2,1,2,3,3,3,4,0,1,2,1,3,5,0,0,0,2,7,3,4,3,4,4,8,0,5,4,1,7,2,0,4,7,1,7,9,4,8,3,8,14,8,5,9,9,12,10,6,5,5,11,9,10,1,10,2,11,9,9,4,7,1,3,1,6,0,0,4,3,5,2,1,5,4,1,1,4
S01012526,2,1,2,5,2,2,3,2,9,5,2,3,5,3,1,1,4,2,4,5,3,4,2,6,2,2,1,5,1,2,0,0,0,5,2,4,3,1,5,5,2,5,2,3,8,0,6,3,7,5,4,13,3,4,7,3,5,4,6,7,2,10,4,7,8,8,4,5,10,2,8,7,7,1,4,3,6,4,4,5,5,9,1,0,1,1,4,2,0,1,4,1,1,2,3,1,1,5,1,0,0,3,3,5,5,3,8,2,6,1,4,5,0,5,2,2,3,3,1,1,0,1,4,3,1,1,0,3,3,5,0,5,4,7,3,5,4,6,3,14,8,4,4,8,7,4,1,4,10,3,10,10,4,3,7,15,2,6,9,3,7,11,10,8,1,9,3,6,4,8,6,9,4,1,5,3,6,4,1,3,2,2
S01012527,2,1,1,4,2,1,0,5,2,0,3,2,2,0,4,1,1,2,1,1,6,2,3,0,3,1,1,2,4,1,5,1,5,2,1,3,2,3,1,1,0,4,1,3,6,3,2,2,4,3,8,5,1,9,2,2,7,7,8,4,3,6,10,6,5,6,8,6,7,6,3,3,2,5,6,5,1,3,5,3,3,3,3,3,4,0,0,1,2,0,0,0,0,0,4,1,3,2,5,1,2,3,0,4,2,0,2,3,3,1,2,2,4,1,0,2,2,0,0,2,1,0,3,2,0,3,3,0,2,1,2,0,2,3,4,4,6,5,1,1,5,1,0,9,10,7,6,7,1,8,3,5,5,3,10,8,8,11,9,3,3,7,10,6,1,3,2,1,4,3,2,3,4,5,5,2,0,5,4,4,0,3
S01012528,6,1,6,5,3,4,2,7,5,3,5,4,5,4,6,5,2,9,4,7,8,7,3,7,2,10,7,3,0,5,2,13,5,2,4,2,10,6,7,4,4,9,4,1,0,7,10,7,5,4,3,0,5,6,5,4,6,6,7,6,1,4,6,0,2,6,7,1,8,4,4,3,4,1,3,7,1,1,3,4,1,2,1,0,0,1,0,0,0,1,0,5,7,7,1,6,4,7,6,4,5,12,4,4,8,4,2,8,3,6,8,4,0,7,6,0,3,2,3,10,11,0,4,7,3,4,1,9,7,5,1,4,5,1,11,3,1,6,7,15,6,7,5,6,3,5,7,7,7,8,6,8,4,7,5,7,4,5,8,0,5,7,5,2,6,2,2,3,2,2,3,3,4,2,1,3,1,0,0,0,0,0
S01012529,3,4,2,1,3,5,6,5,3,7,8,6,5,2,3,1,5,0,4,3,5,3,7,3,3,1,6,3,2,0,5,7,3,3,7,2,3,2,7,0,3,5,3,3,5,4,6,4,4,6,7,4,5,3,8,7,6,4,3,6,2,3,8,5,7,4,3,3,3,7,5,8,3,0,9,4,1,2,0,1,2,1,1,0,1,1,2,0,0,1,0,5,4,2,6,4,4,5,5,5,6,3,4,7,3,3,2,1,5,4,0,1,1,1,2,2,2,1,9,0,2,8,0,5,5,6,6,2,2,3,4,4,3,4,2,1,3,9,6,5,9,5,7,3,6,9,8,6,10,6,8,2,9,8,3,3,4,5,5,5,8,4,7,1,5,1,1,0,2,5,1,3,5,3,2,3,0,0,1,1,2,0
S01012530,3,2,3,4,4,1,2,3,5,6,7,3,3,4,5,2,4,3,9,1,9,5,4,4,5,1,4,7,2,0,0,2,2,4,5,4,4,2,5,2,10,1,2,3,6,9,6,6,6,7,8,6,7,3,8,6,6,8,6,7,8,7,6,7,6,7,8,6,10,4,4,12,7,8,2,6,5,3,4,2,5,0,1,4,6,3,4,4,3,2,2,2,1,3,4,4,4,3,5,4,2,3,2,3,6,4,3,4,7,3,3,2,3,1,6,2,2,1,7,2,5,1,4,7,4,0,7,3,1,1,4,2,7,5,7,5,6,4,8,4,7,5,8,6,8,7,4,9,13,10,12,5,6,6,8,5,8,7,15,8,8,7,5,5,10,7,12,5,3,7,4,4,8,2,8,4,2,6,6,2,4,3
S01012531,5,10,3,5,5,9,8,5,7,3,2,9,7,8,7,4,8,7,5,7,4,8,4,5,4,1,0,3,6,5,2,6,3,2,6,6,8,4,4,3,6,4,10,6,6,4,5,9,7,3,9,3,3,10,12,4,7,9,9,4,4,5,1,6,7,6,11,5,13,5,1,3,0,5,2,1,3,1,2,0,1,5,3,3,0,0,0,2,1,1,1,2,8,5,1,12,3,15,0,10,15,8,7,6,9,2,10,3,5,2,2,0,8,5,0,1,1,5,4,3,4,8,4,5,4,8,5,7,13,10,10,2,6,4,14,3,8,12,10,8,4,5,11,8,9,9,14,9,10,6,7,6,4,7,6,2,0,6,9,1,4,5,3,5,4,4,4,6,2,4,1,5,0,2,1,4,0,2,1,1,0,7
S01012532,10,2,6,8,10,9,5,9,7,2,5,5,8,1,4,8,5,8,5,8,6,6,7,1,4,4,2,8,0,5,10,7,2,1,7,5,10,12,10,3,5,2,6,6,9,5,6,5,8,9,13,7,14,8,13,10,4,13,5,7,8,6,4,7,17,8,10,5,8,3,6,11,1,4,2,7,3,5,1,4,2,5,0,2,3,1,1,0,1,1,0,6,5,2,8,4,7,5,4,5,10,5,6,8,8,5,4,4,1,0,4,3,6,6,3,4,5,5,11,6,1,0,8,6,3,3,5,20,10,9,5,6,7,8,10,8,1,1,12,6,3,7,9,13,11,10,20,8,9,1,4,15,3,2,11,11,10,9,4,12,5,5,4,6,6,5,7,4,6,0,3,2,2,3,1,3,2,3,2,0,0,3
S01012533,3,3,2,1,3,0,6,5,2,2,3,4,3,0,3,2,1,1,2,1,0,0,5,1,3,6,1,1,1,1,5,6,6,0,5,7,4,8,2,9,0,1,1,0,1,1,4,4,8,6,3,3,7,8,4,4,7,0,1,2,4,2,2,4,3,3,2,5,5,6,4,2,4,3,3,5,2,3,0,2,3,2,2,1,3,1,1,1,1,0,0,0,2,2,4,6,1,3,0,4,2,3,2,0,0,2,1,3,0,1,1,0,4,4,2,7,2,5,3,3,3,4,1,7,1,7,5,7,0,3,2,4,1,4,1,2,1,5,5,0,3,4,2,0,5,6,5,2,3,0,0,6,2,1,1,3,3,7,3,3,12,5,5,5,9,6,2,2,4,5,3,0,5,5,0,1,2,0,1,0,1,4
S01012534,2,2,3,0,6,6,4,4,7,5,2,2,8,2,3,3,3,5,3,5,3,5,4,3,3,6,4,0,2,6,1,0,1,3,3,4,5,3,12,2,6,4,1,4,4,1,1,1,6,1,6,1,7,8,0,5,2,7,4,6,5,3,4,6,2,0,2,5,1,5,5,6,2,4,1,3,4,1,2,1,3,1,5,1,0,2,3,4,1,1,12,3,5,6,2,0,5,3,6,4,1,5,7,3,5,2,3,3,2,0,1,2,2,5,2,1,8,2,6,1,4,2,6,0,4,5,0,0,0,5,8,1,3,3,7,1,7,5,5,9,2,6,6,3,3,6,8,5,4,6,3,6,1,2,2,6,6,2,5,6,3,6,5,5,4,4,3,5,1,3,5,7,5,4,2,2,4,3,9,5,5,32
S01012535,3,4,5,6,7,9,3,2,8,1,3,3,2,5,2,2,2,4,3,5,2,5,2,4,8,5,2,4,3,5,4,3,7,2,3,5,7,1,1,3,3,1,8,4,1,2,4,11,5,4,5,9,5,3,7,6,12,7,8,4,5,8,3,5,7,3,4,3,5,5,9,1,5,4,1,7,3,1,1,3,0,3,1,1,2,2,2,1,0,0,1,5,6,8,6,1,4,1,4,6,6,6,4,8,1,7,3,1,4,5,4,2,5,7,7,5,5,6,8,6,3,3,8,10,1,6,1,4,2,6,1,5,4,3,7,6,1,3,7,4,3,5,8,8,8,6,14,5,6,8,10,5,4,7,2,3,4,7,2,2,6,7,5,11,3,2,4,4,1,1,4,3,1,5,5,3,3,0,1,1,0,0
S01012536,1,6,0,3,3,4,2,7,1,4,5,3,4,3,2,5,2,6,6,5,5,8,3,7,6,4,4,6,2,8,0,2,1,2,4,3,6,1,4,3,0,1,0,5,1,3,4,5,7,2,6,2,4,7,6,9,12,5,13,8,5,4,4,1,6,2,4,3,2,6,2,4,3,6,5,1,0,2,4,2,3,3,1,1,1,0,0,0,0,0,3,1,4,3,1,7,1,5,3,0,8,4,3,2,1,4,6,4,4,1,1,3,4,2,3,4,5,5,0,7,2,8,2,3,10,3,3,2,6,4,6,3,4,5,5,1,1,5,2,5,4,6,7,8,6,11,7,7,6,6,9,7,3,3,5,6,3,7,2,3,5,3,3,5,5,5,6,4,2,3,1,1,2,2,0,0,2,1,0,2,0,6
S01012537,4,4,1,2,4,4,1,5,7,1,3,3,2,3,2,0,2,4,2,2,2,1,4,3,6,3,12,2,8,2,2,7,2,3,2,9,5,6,2,4,2,4,5,2,1,3,7,5,5,4,5,5,3,6,2,5,4,4,8,5,4,7,4,5,5,4,6,3,4,5,3,9,6,7,3,1,4,8,1,2,4,0,3,3,2,2,3,3,0,0,3,3,6,3,3,1,3,4,1,6,5,3,6,2,6,4,6,2,1,4,0,2,0,5,3,0,15,13,4,5,2,6,2,3,8,4,5,6,8,0,7,2,4,1,9,1,5,2,6,3,6,9,0,3,5,5,10,3,2,3,6,6,6,5,5,5,11,2,3,6,1,10,2,5,3,7,9,4,2,4,7,2,4,0,0,3,4,4,2,0,0,1
S01012538,2,7,4,13,11,13,3,7,11,8,10,10,4,2,4,10,10,7,5,4,12,7,3,6,4,2,11,10,1,9,4,8,8,17,5,7,6,1,5,12,4,10,5,8,9,4,6,12,14,8,10,9,14,7,11,9,0,4,5,7,5,10,2,8,2,2,3,1,5,6,4,0,5,8,3,7,2,5,3,5,2,5,6,5,2,6,2,1,1,0,6,7,12,7,13,8,6,8,9,5,0,12,9,5,11,9,4,3,4,4,4,2,5,9,4,12,11,4,6,12,6,11,10,10,11,5,13,7,12,14,10,12,8,3,11,4,8,6,5,6,6,5,10,7,14,5,12,13,9,2,11,6,2,2,6,2,7,5,3,4,8,7,5,3,7,8,7,6,1,3,2,8,7,8,5,5,3,4,2,4,8,17
S01012539,7,3,3,2,1,8,5,6,6,3,4,2,5,8,2,5,4,5,1,3,7,0,4,2,3,5,6,4,4,3,4,5,1,5,1,3,6,6,1,4,2,2,3,8,4,3,4,3,5,4,9,6,7,6,6,4,6,7,4,8,1,4,6,3,5,4,0,5,9,4,4,8,0,4,4,2,4,8,1,2,1,6,3,3,0,2,3,3,2,0,0,7,4,4,1,0,1,5,2,2,2,9,3,3,3,5,4,4,5,5,9,7,4,4,10,2,5,5,5,8,2,0,4,5,5,4,3,3,1,4,3,4,4,1,0,2,4,6,4,8,10,1,6,4,3,2,4,7,10,4,2,2,7,6,5,2,7,2,3,1,7,5,3,4,5,4,4,3,1,1,5,5,3,2,2,4,5,4,1,1,0,1
S01012540,7,3,5,9,6,8,8,7,7,5,4,5,3,4,6,4,6,1,8,3,4,3,6,5,4,2,1,7,0,1,3,8,1,1,0,8,5,0,2,3,0,6,2,4,1,6,10,4,7,0,5,1,10,6,8,3,2,3,1,5,3,4,4,3,2,6,3,2,3,4,4,9,3,3,5,4,4,4,0,0,2,0,0,3,2,2,0,0,0,0,0,5,9,9,5,4,8,6,5,3,5,6,3,2,3,2,0,5,4,1,5,4,5,6,7,6,3,8,0,3,2,9,6,6,2,3,4,6,3,3,9,3,2,2,3,5,0,2,7,5,4,9,7,8,8,8,6,0,8,5,5,5,6,2,3,3,4,4,0,1,8,5,2,5,3,2,6,4,3,2,0,3,0,3,0,0,1,0,0,0,0,2
S01012541,10,7,10,6,2,6,10,7,11,8,2,4,8,4,9,2,9,5,7,5,9,10,10,9,7,10,4,4,2,5,9,7,5,14,4,13,8,14,5,3,7,5,6,8,1,7,7,12,8,5,12,8,4,7,4,12,9,9,7,6,7,6,11,10,5,4,4,3,2,6,14,16,5,4,6,17,3,7,3,6,5,2,0,3,1,2,0,1,0,0,0,3,7,8,10,5,9,9,4,5,7,2,4,5,10,7,2,7,4,0,3,5,7,6,7,3,3,6,3,9,11,5,5,4,6,7,4,7,8,6,5,2,1,9,10,10,10,8,6,8,13,6,11,11,4,4,8,13,9,4,11,9,10,2,6,8,10,6,6,9,6,7,7,8,3,8,2,7,7,2,1,3,4,4,4,2,0,1,0,0,1,1
S01012542,2,6,4,10,9,7,2,6,11,6,11,5,2,11,5,2,4,0,3,3,3,5,5,4,2,7,2,7,4,5,5,8,4,2,7,1,8,2,4,3,8,4,6,7,6,6,7,3,7,5,5,7,4,8,8,14,8,5,5,8,6,3,9,12,6,6,11,5,9,11,7,3,13,5,10,3,3,3,5,6,1,3,3,1,0,2,2,0,2,0,4,3,5,7,5,4,3,13,5,8,3,8,6,3,7,0,8,2,2,0,1,5,10,0,4,3,7,3,2,0,12,3,3,5,8,4,5,9,9,6,4,7,5,7,4,8,9,8,8,14,10,11,4,10,8,1,14,9,8,6,8,14,9,9,2,11,10,10,4,6,12,10,6,5,3,4,6,10,6,3,8,4,4,6,3,3,3,5,3,2,0,8
